nombre,Latitud,Longitud,coordenadas
UMF 18 IXTLAN RÍO,21.0332,-104.3778,"21.0332,-104.3778"
UMF 4 VILLA HIDALGO,21.7427,-105.2319,"21.7427,-105.2319"
UMF 21 PIMIENTILLO,22.0158,-105.411,"22.0158,-105.411"
UMF 37 MONTERREY,25.6873,-100.342,"25.6873,-100.342"
UMF 3 MONTERREY,25.6842,-100.297,"25.6842,-100.297"
UMF 35 MONTERREY,25.7325,-100.347,"25.7325,-100.347"
UMF 39 MONTERREY,25.7396,-100.382,"25.7396,-100.382"
UMF 22 SAN JUAN ABAJO,20.8182,-105.188,"20.8182,-105.188"
UMF 1 PUEBLA,19.0436,-98.2091,"19.0436,-98.2091"
UMF 55 PUEBLA,19.0502,-98.1474,"19.0502,-98.1474"
UMFH 11 S. MARTÍN TEXME,19.2908,-98.4466,"19.2908,-98.4466"
UMF 12 S. PEDRO CHOLULA,19.0645,-98.302,"19.0645,-98.302"
UMF 22 TEZIUTLÁN,19.8123,-97.3748,"19.8123,-97.3748"
UMF 30 TEHUACÁN,18.4632,-97.3966,"18.4632,-97.3966"
UMF 9 SANTA MARÍA,18.4413,-97.4075,"18.4413,-97.4075"
UMFH 26 ATENCINGO,18.516,-98.6019,"18.516,-98.6019"
UMFH 28 CALIPAN,18.2944,-97.168,"18.2944,-97.168"
UMF 14 PUEBLO NUEVO,19.0685,-98.2411,"19.0685,-98.2411"
UMF 32 LAGUNILLAS,18.4842,-98.6973,"18.4842,-98.6973"
UMF 4 CONSTANCIA,19.0914,-98.2361,"19.0914,-98.2361"
UMF 46 TLATLAUQUITEPEC,19.8585,-97.495,"19.8585,-97.495"
UMFH 4 TEQUISQUIAPAN,20.5184,-99.8977,"20.5184,-99.8977"
UMF 43 PICHUCALCO,17.5158,-93.1124,"17.5158,-93.1124"
UMF 18 NUEVO NECAXA,20.2081,-98.0095,"20.2081,-98.0095"
UMF 17 XICOTEPEC,20.2674,-97.9605,"20.2674,-97.9605"
UMF 19 HUAUCHINANGO,20.1733,-98.0485,"20.1733,-98.0485"
UMF 39 ZACATLÁN,19.9401,-97.9615,"19.9401,-97.9615"
UMF 49 TETELA OCAMPO,19.8152,-97.8047,"19.8152,-97.8047"
UMFH 33 VILLA RAFAEL,19.2249,-97.8045,"19.2249,-97.8045"
UMF 34 ATLIXCO,18.9065,-98.4403,"18.9065,-98.4403"
UMF 40 ORIENTAL,19.3719,-97.6225,"19.3719,-97.6225"
UMF 38 PALMAR BRAVO,18.8359,-97.5477,"18.8359,-97.5477"
UMF 41 HUEJOTZINGO,19.1541,-98.4072,"19.1541,-98.4072"
UMF 47 S. MIGUEL XOXTLA,19.1645,-98.3121,"19.1645,-98.3121"
UMF 16 QUERÉTARO,20.5875,-100.3721,"20.5875,-100.3721"
UMF 15 QUERÉTARO,20.6234,-100.4114,"20.6234,-100.4114"
UMF 10 S. GREGORIO,20.6025,-100.4048,"20.6025,-100.4048"
UMF 6 S. JUAN DEL RÍO,20.3781,-99.9995,"20.3781,-99.9995"
UMF 7 S. JUAN DEL RÍO,20.3796,-99.9643,"20.3796,-99.9643"
UMF 2 SAN CAYETANO,20.5997,-100.3585,"20.5997,-100.3585"
UMF 5 P. ESCOBEDO,20.4991,-100.1386,"20.4991,-100.1386"
UMF 12 CADEREYTA,20.6988,-99.8116,"20.6988,-99.8116"
UMF 66 MACONI,20.8353,-99.5333,"20.8353,-99.5333"
UMF 56 AMEALCO,20.1864,-100.1494,"20.1864,-100.1494"
UMF 59 HUIMILPAN,20.376,-100.2742,"20.376,-100.2742"
UMF 64 TOLIMAN,20.9089,-99.9299,"20.9089,-99.9299"
UMF 58 E. MONTES,20.6625,-99.9032,"20.6625,-99.9032"
UMF 14 EL PUEBLITO,20.543,-100.4398,"20.543,-100.4398"
UMF 11 S. R. JAÚREGUI,20.7367,-100.4481,"20.7367,-100.4481"
UMF 9 DEL TINTERO,20.6043,-100.4287,"20.6043,-100.4287"
UMF 57 COLÓN,20.7889,-100.0481,"20.7889,-100.0481"
UMF 8 EL MARQUÉS,20.6307,-100.2618,"20.6307,-100.2618"
UMF 11 PLAYA CARMEN,20.6274,-87.079,"20.6274,-87.079"
UMF 6 F. CARRILLO PUERTO,19.5764,-88.0466,"19.5764,-88.0466"
UMF 16 CANCÚN,21.1409,-86.844,"21.1409,-86.844"
UMF 14 CANCÚN SUR,21.1569,-86.8656,"21.1569,-86.8656"
UMF 13 CANCÚN NORTE,21.1835,-86.8285,"21.1835,-86.8285"
UMF 15 CANCÚN,21.1576,-86.8277,"21.1576,-86.8277"
